,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kantang,,,,,,,,
1,oum hadjer,,,,,,,,
2,punta arenas,,,,,,,,
3,hobart,,,,,,,,
4,cape town,,,,,,,,
5,sarangani,,,,,,,,
6,rikitea,,,,,,,,
7,chuy,,,,,,,,
8,ahipara,,,,,,,,
9,kapaa,,,,,,,,
10,huntington,,,,,,,,
11,college,,,,,,,,
12,ushuaia,,,,,,,,
13,los llanos de aridane,,,,,,,,
14,yellowknife,,,,,,,,
15,meyungs,,,,,,,,
16,saint-pierre,,,,,,,,
17,amderma,,,,,,,,
18,sorland,,,,,,,,
19,zhezkazgan,,,,,,,,
20,goderich,,,,,,,,
21,harper,,,,,,,,
22,tasiilaq,,,,,,,,
23,kappeln,,,,,,,,
24,broome,,,,,,,,
25,guerrero negro,,,,,,,,
26,asau,,,,,,,,
27,kamaishi,,,,,,,,
28,mys shmidta,,,,,,,,
29,victoria,,,,,,,,
30,san cristobal,,,,,,,,
31,busselton,,,,,,,,
32,hilo,,,,,,,,
33,bambous virieux,,,,,,,,
34,bethel,,,,,,,,
35,severnyy,,,,,,,,
36,peniche,,,,,,,,
37,rocha,,,,,,,,
38,barrow,,,,,,,,
39,hovd,,,,,,,,
40,bredasdorp,,,,,,,,
41,illoqqortoormiut,,,,,,,,
42,nikolskoye,,,,,,,,
43,yar-sale,,,,,,,,
44,lewistown,,,,,,,,
45,chicama,,,,,,,,
46,karaul,,,,,,,,
47,hermanus,,,,,,,,
48,marcona,,,,,,,,
49,mahebourg,,,,,,,,
50,provideniya,,,,,,,,
51,sao jose da coroa grande,,,,,,,,
52,fare,,,,,,,,
53,deputatskiy,,,,,,,,
54,pathein,,,,,,,,
55,hervey bay,,,,,,,,
56,bluff,,,,,,,,
57,lagoa,,,,,,,,
58,sotnikovskoye,,,,,,,,
59,saint george,,,,,,,,
60,port alfred,,,,,,,,
61,zhuhai,,,,,,,,
62,malanje,,,,,,,,
63,thompson,,,,,,,,
64,jumla,,,,,,,,
65,namatanai,,,,,,,,
66,mar del plata,,,,,,,,
67,new norfolk,,,,,,,,
68,yuzhno-yeniseyskiy,,,,,,,,
69,koumra,,,,,,,,
70,east london,,,,,,,,
71,chokurdakh,,,,,,,,
72,severo-kurilsk,,,,,,,,
73,necochea,,,,,,,,
74,bengkulu,,,,,,,,
75,gornyak,,,,,,,,
76,cabo san lucas,,,,,,,,
77,tuktoyaktuk,,,,,,,,
78,nioro,,,,,,,,
79,mmabatho,,,,,,,,
80,lima,,,,,,,,
81,kodiak,,,,,,,,
82,constitucion,,,,,,,,
83,belushya guba,,,,,,,,
84,salalah,,,,,,,,
85,mazyr,,,,,,,,
86,port-cartier,,,,,,,,
87,sulangan,,,,,,,,
88,qaanaaq,,,,,,,,
89,saurimo,,,,,,,,
90,prata,,,,,,,,
91,khatanga,,,,,,,,
92,gazli,,,,,,,,
93,souillac,,,,,,,,
94,mataura,,,,,,,,
95,leningradskiy,,,,,,,,
96,pisco,,,,,,,,
97,dikson,,,,,,,,
98,solnechnyy,,,,,,,,
99,vaini,,,,,,,,
100,acarau,,,,,,,,
101,sondrio,,,,,,,,
102,suarez,,,,,,,,
103,cidreira,,,,,,,,
104,bourail,,,,,,,,
105,belaya gora,,,,,,,,
106,arraial do cabo,,,,,,,,
107,barentsburg,,,,,,,,
108,alofi,,,,,,,,
109,puerto ayora,,,,,,,,
110,tiksi,,,,,,,,
111,kamenskoye,,,,,,,,
112,whitianga,,,,,,,,
113,taolanaro,,,,,,,,
114,lebu,,,,,,,,
115,tonekabon,,,,,,,,
116,jamestown,,,,,,,,
117,kuche,,,,,,,,
118,havelock,,,,,,,,
119,thunder bay,,,,,,,,
120,ishigaki,,,,,,,,
121,svelgen,,,,,,,,
122,kushima,,,,,,,,
123,nanortalik,,,,,,,,
124,bosaso,,,,,,,,
125,castro,,,,,,,,
126,manggar,,,,,,,,
127,dourados,,,,,,,,
128,albany,,,,,,,,
129,fortuna,,,,,,,,
130,puerto madryn,,,,,,,,
131,hun,,,,,,,,
132,abengourou,,,,,,,,
133,vila franca do campo,,,,,,,,
134,margate,,,,,,,,
135,nurmahal,,,,,,,,
136,tabiauea,,,,,,,,
