,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zhezkazgan,47.8043,67.7144,302.28,24,10,4.91,KZ,1627929507
1,lebu,-37.6167,-73.65,286.32,72,46,9.06,CL,1627929457
2,taolanaro,,,,,,,,
3,upernavik,72.7868,-56.1549,280.94,69,10,0.58,GL,1627929479
4,bossier city,32.516,-93.7321,301.47,80,75,0,US,1627929288
5,karkaralinsk,,,,,,,,
6,inhambane,-23.865,35.3833,292.81,77,0,4.4,MZ,1627929508
7,olinda,-8.0089,-34.8553,299,83,40,5.14,BR,1627929260
8,ushuaia,-54.8,-68.3,280.96,46,40,5.66,AR,1627929419
9,geraldton,-28.7667,114.6,280.38,93,2,4.12,AU,1627929508
10,butaritari,3.0707,172.7902,300.91,74,18,3.33,KI,1627929457
11,westerland,54.9079,8.3033,288.81,77,90,7.2,DE,1627929509
12,rikitea,-23.1203,-134.9692,293.58,55,55,10.18,PF,1627929310
13,gamba,-2.65,10,296.68,85,32,2.43,GA,1627929509
14,grand river south east,,,,,,,,
15,hithadhoo,-0.6,73.0833,300.74,71,100,2.53,MV,1627929509
16,cherskiy,68.75,161.3,275.62,84,94,6.76,RU,1627929510
17,mys shmidta,,,,,,,,
18,vostok,46.4856,135.8833,290.52,96,66,0.97,RU,1627929510
19,nanortalik,60.1432,-45.2371,281.89,82,97,1.41,GL,1627929500
20,maues,-3.3836,-57.7186,303.43,55,83,1.47,BR,1627929278
21,vanimo,-2.6741,141.3028,298.63,89,98,2.41,PG,1627929511
22,cape town,-33.9258,18.4232,288.77,81,0,2.06,ZA,1627929511
23,mataura,-46.1927,168.8643,279.53,98,100,1.27,NZ,1627929511
24,sentyabrskiy,,,,,,,,
25,port alfred,-33.5906,26.891,287.8,77,62,8.08,ZA,1627929512
26,hobart,-42.8794,147.3294,280.4,84,95,0.45,AU,1627929482
27,castro,-24.7911,-50.0119,290.57,57,0,2.92,BR,1627929512
28,vaini,-21.2,-175.2,292.24,82,20,3.6,TO,1627929512
29,hilo,19.7297,-155.09,297.48,85,90,3.09,US,1627929512
30,prince george,53.9166,-122.753,297.73,66,1,0.45,CA,1627929513
31,illoqqortoormiut,,,,,,,,
32,henties bay,-22.116,14.2845,290.86,64,0,0.93,NA,1627929513
33,kijang,35.2442,129.2139,299,82,100,1.35,KR,1627929513
34,turukhansk,65.8167,87.9833,290.09,77,100,3.87,RU,1627929514
35,punta arenas,-53.15,-70.9167,280.21,61,75,14.92,CL,1627929514
36,montanhas,-6.4858,-35.2875,300.9,65,45,8.15,BR,1627929514
